beta,noise_strength,k,mean_terminal_occupancy,argmax_frequency,mean_residence
1.0,0.1,10,0.10345420301931807,0.012,1.166922890411894
1.0,0.1,12,0.13703508390367905,0.7113333333333334,1.4700018195496007
1.0,0.1,14,0.10442163809716856,0.011333333333333334,1.1707965285466382
1.0,0.1,16,0.08715721998988418,0.005333333333333333,1.0364032105411205
1.0,0.1,18,0.08057246790920501,0.008666666666666666,1.0088277324587949
1.0,0.1,20,0.07991441517044373,0.012666666666666666,1.012205061399961
1.0,0.1,22,0.08119810537742524,0.046,1.0340448221048044
1.0,0.1,24,0.08161661276026438,0.11466666666666667,1.0444002478066763
1.0,0.15,4,0.0787056405019664,0.07733333333333334,1.0069123525581551
1.0,0.15,6,0.07987337998964042,0.019333333333333334,0.9989611430884813
1.0,0.15,8,0.08640244520271481,0.008666666666666666,1.0401666274735364
1.0,0.15,10,0.10297034099213649,0.017333333333333333,1.1661647023835042
1.0,0.15,12,0.13702576114245066,0.6433333333333333,1.4884764839670892
1.0,0.15,14,0.10444490301337712,0.028666666666666667,1.1803827781569602
1.0,0.15,16,0.08693119601518505,0.01,1.0471736730675543
1.0,0.15,18,0.08018627511865851,0.008,1.0037066683967573
1.0,0.15,20,0.07965286794608091,0.015333333333333332,1.0080921480770757
1.0,0.15,22,0.08151895326152485,0.043333333333333335,1.029145231347807
1.0,0.15,24,0.08228823681626468,0.12866666666666668,1.03081819148308
2.0,0.0,4,0.06656436714353507,0.0026666666666666666,0.940211820569329
2.0,0.0,6,0.06792755938383727,0.0,0.9186798914089767
2.0,0.0,8,0.07877101171620708,0.0,0.9665495192058167
2.0,0.0,10,0.11145751478656267,0.0,1.1904711897630555
2.0,0.0,12,0.19670115136421115,0.972,1.9319565091961177
2.0,0.0,14,0.11351167865268699,0.0,1.229487084919154
2.0,0.0,16,0.07960147296775923,0.0,0.9810005352312955
2.0,0.0,18,0.06971458392404942,0.0,0.927743544278618
2.0,0.0,20,0.06968111749319356,0.0,0.9455929594449463
2.0,0.0,22,0.0723269727443067,0.0,0.976424295868599
2.0,0.0,24,0.07374256982365125,0.025333333333333333,0.9918826501140929
2.0,0.03,4,0.06616367495977968,0.002,0.9266632935416099
2.0,0.03,6,0.06765793979524527,0.0,0.9154150073686654
2.0,0.03,8,0.07865197238374662,0.0,0.9702126711245141
2.0,0.03,10,0.11130817039924974,0.0,1.199789058957201
2.0,0.03,12,0.19625654662395528,0.9733333333333334,1.9316280253140743
2.0,0.03,14,0.11325159145393553,0.0,1.2120561448493097
2.0,0.03,16,0.07960553393864359,0.0,0.9744828649311712
