time,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20,k_21,k_22,k_23,k_24
26.2,0.0438093564175596,0.04354810882685571,0.04316608265527465,0.04319160905951211,0.043656577544086785,0.04319109912970944,0.04342203518445764,0.043330253488537,0.0435594678150386,0.04353844347429591,0.043530009489272624,0.04323600292049896,0.04365920129020915,0.04371531457076977,0.043743728401871594,0.04342747391650273,0.04310556089218739,0.04316737884995597,0.043923168501971616,0.04334326721321904,0.043839547701860375,0.04306617690172488,0.04383013575462837
26.22,0.043790265066137646,0.043557973641185674,0.043171197720964664,0.04318940461910333,0.04367209920427727,0.043180359631304434,0.04343149937252506,0.043315293989544285,0.04355745401578146,0.04351495597895031,0.043548561853876136,0.04324009212183422,0.043652370446804874,0.043708935618953115,0.04375096167721769,0.04345041068059,0.043101192797425775,0.043157288855800946,0.04392054853178097,0.0433505650584856,0.043831753621977214,0.043078261942760675,0.043828553552718676
26.240000000000002,0.04377010851674481,0.04356856824441746,0.04317028921844994,0.043190826923223014,0.04368923262724979,0.04316717467257232,0.043437035429147085,0.0433006977192746,0.04355572520509896,0.04349397798435696,0.04356325178922394,0.043247240513332556,0.04365559433358583,0.04370621152626796,0.043755029176639586,0.04346953248833542,0.04309500780984995,0.04315054997304893,0.04391728356172352,0.04335724616612437,0.04382042532925292,0.043090465916194746,0.04382852487588523
26.26,0.04375450388707647,0.04357603887425374,0.043168687174300134,0.04319152591207166,0.04370377569300436,0.04316226647758758,0.043441179442451024,0.043289785044397705,0.043558247779208394,0.04348054286519272,0.043574742369539,0.043245865192574034,0.043657230547294236,0.043708189800556,0.043756136897595006,0.04349587422686286,0.043083453400316746,0.04314899277316629,0.043914685833343264,0.043362888798693176,0.04380622097361731,0.04310273515802855,0.04381643087886984
26.28,0.043741791851325505,0.0435771001298944,0.04316241068627011,0.04318844716723777,0.04371644000359036,0.04316298328142669,0.04344662764030261,0.0432777396692095,0.043567933772652924,0.04347230878571336,0.04358797783049756,0.04324640747602105,0.04365652212667966,0.04370599128519416,0.043753905006537995,0.04351932077438822,0.04306699615990896,0.04314959429373101,0.04391230767642448,0.043373511972032326,0.04379403382455631,0.04311183218109687,0.0438078164053083
26.3,0.04372876222859865,0.04357379611185033,0.04315278556201813,0.043188082494351465,0.043721643058082585,0.043165088529820234,0.043448662078295563,0.04326871442838517,0.04357535923398644,0.04346292090947615,0.04359493471066828,0.04325427093558058,0.043663908393925845,0.043714065559088175,0.04375081035547277,0.04354053978792993,0.04305052466922216,0.0431488338042866,0.04391008980869314,0.04338782843799114,0.043779797171242404,0.043118053371036046,0.0438005283599981
26.32,0.04372133619000135,0.0435682580446704,0.043151820219571466,0.04318522624539294,0.04372051471797859,0.043164517726114515,0.04345426344147216,0.04325842954116553,0.04358630893174758,0.04344560397733112,0.043602993482190336,0.043258130197637974,0.043668808760139254,0.04372011591348262,0.04374199891082638,0.04355951053719978,0.04303713113072046,0.04314177451140177,0.04390837428212759,0.04340608591316991,0.04376991969576727,0.04313197288162815,0.043796904748263
26.34,0.043712631312157746,0.04355761058868674,0.04315501559459169,0.043180231474335376,0.043718197814865786,0.04316493405445754,0.04346422543219611,0.04324020631428608,0.04360058123228461,0.04343079880361374,0.04361620925189078,0.04325952972101748,0.04367161506445528,0.043721443882121666,0.043731760582220336,0.04357823548847346,0.04302940513109083,0.04313191706435206,0.043906712885715043,0.04342004576710625,0.0437607882430345,0.04315129850369853,0.043796605793348355
26.36,0.04369724440592703,0.0435476582141291,0.04316056582760704,0.04317857379675403,0.043714600565598276,0.04316337846550583,0.04347046042884435,0.043225678051121375,0.043618873631687725,0.04341254593186272,0.04362854099762293,0.043268424837210155,0.04367909293343049,0.043714496905641165,0.043716689270857347,0.043598412117219626,0.04301628146737876,0.043123221184194614,0.04390472716651771,0.04343902954779047,0.04375448798283875,0.04316656115246369,0.04380045511779704
26.38,0.043685171709095146,0.043548990089226566,0.043168124503832644,0.043177931918101445,0.04371725830695836,0.04315909836396884,0.043476318625546025,0.04320953116745589,0.043634790477411575,0.04339125098293723,0.04364568828139507,0.04328680803965626,0.04367092564420724,0.043700350387818,0.04370641874335901,0.043612913175404236,0.043000167964282306,0.04311093705254604,0.0439031373077707,0.04345945896963452,0.04374515342222209,0.043182149397770486,0.043807425469400176
26.400000000000002,0.04367093630161115,0.043543191214792505,0.04318080125938612,0.04317518546061756,0.04372220464197068,0.043161769942217515,0.04348722580712884,0.04319787963775823,0.04365273640201158,0.04337236361815001,0.043648793426922086,0.04329445879979789,0.04366078797566592,0.04369546134307313,0.04369056169609897,0.043626820255663744,0.04298461775366099,0.043100012792127815,0.043901150776484224,0.04348038050162991,0.04373774233678237,0.04320162060317058,0.04381329745327821
26.42,0.04365224235426712,0.04354419509264748,0.04318479240464476,0.043181305349864155,0.04372546506290547,0.04316341061473982,0.043493469725713,0.04319328661258569,0.04366759270561929,0.043356281394062834,0.04365627065786248,0.04329943651391092,0.04365438597888396,0.04368561776274377,0.04366988925377333,0.043641479397408756,0.0429612485660296,0.04310124330028124,0.04389894267600548,0.04350249022370875,0.043730047505812,0.043218603503105024,0.04381830334342502
26.44,0.04364466392274119,0.043546687455450046,0.043184620842893276,0.04318463735298895,0.043731081768656345,0.04316733694898559,0.04349323155422573,0.04318350317203943,0.04367761233880737,0.043340858150653486,0.04365962816918415,0.04330502425888491,0.04364887454838532,0.043674058597779536,0.04365748913514453,0.04365784122795868,0.042945166139377065,0.04309790702278654,0.04389620127808423,0.043522663027129704,0.04371697915877245,0.04324174915784127,0.0438221847712302
26.46,0.043631631157568705,0.04355530568356823,0.04318497749865024,0.043185066651711915,0.04373805211684692,0.04317573743742236,0.043495047116434225,0.04317754230438728,0.043679972889084866,0.04333215010703777,0.04365969433043829,0.04331132022043326,0.04364059606020981,0.04364855289627369,0.04364547623606675,0.043671703222145766,0.04293730453468612,0.04309509307756488,0.0438931368912512,0.04354135386765357,0.04371195962484408,0.0432631259430911,0.04382520013262898
26.48,0.043621974747233,0.04355583320819624,0.043195265910059726,0.04317446518841658,0.04374593109562443,0.043188595918814535,0.04349727526202742,0.043172648009706625,0.043689197847127395,0.04332628597153283,0.04365597462302996,0.043316056990074306,0.04362618304483019,0.04362033654933445,0.04363872025129011,0.04368701070451775,0.04292838073144921,0.04309554462064026,0.04389025539655714,0.043556740318746186,0.043703863898509436,0.04328556062152124,0.04382789909076088
26.5,0.0436156135471926,0.04356160809307055,0.043198342894370405,0.043166101430669186,0.04375279692868809,0.04319594839498665,0.043504243956690614,0.04316804088860907,0.04369387624530414,0.04332959554397536,0.043652919602224,0.04332098712936864,0.043607323255351535,0.043592847089772034,0.043635978009203415,0.04370135035048502,0.042914313319294205,0.04309247666442706,0.04388790137818119,0.04357883204606748,0.04369467957341011,0.04330355690152921,0.04383066675712956
26.52,0.04361839741930579,0.0435727670685917,0.04320406812007233,0.043155405140517376,0.043760590991218526,0.043199849115840246,0.04352202094353938,0.04316013745981382,0.04369799791506928,0.04332630641939857,0.043648950010506206,0.043329276913885065,0.04359018363158569,0.04356315160353428,0.04362824524059439,0.04371108752755535,0.04289682088494427,0.04309930915005615,0.04388515037398077,0.043598754817119785,0.04368334198909012,0.043315569793091896,0.043832617470688943
26.54,0.04361993788685822,0.04357985629971235,0.04321015743901465,0.043143151891213656,0.04376455515823786,0.04320499939070121,0.04354023583574077,0.04315126120277902,0.04370268355868819,0.04331731852597775,0.04364982326410696,0.04334363259688225,0.04357738639772208,0.04353095956589662,0.04361781607568519,0.04372055644373997,0.04287828308543854,0.043114936849651155,0.04388263812166748,0.04361976935114349,0.04367219203025435,0.043323428344151954,0.04383442068473608
26.560000000000002,0.04361822905615236,0.043586107644655224,0.04321251898771572,0.04313782103721361,0.04376888054034763,0.04320527134531973,0.04355959772656884,0.04314545050563438,0.04370312069560892,0.04330421006232731,0.04365140543995432,0.043354902917769514,0.04356634417028766,0.04349871263431193,0.04360565509774008,0.043728530370984224,0.04286866682495015,0.04313382934608636,0.0438809165264356,0.04363769325903604,0.04366382968708543,0.04333164666362981,0.04383665946018513
26.580000000000002,0.04361167232403862,0.043584852709461025,0.043213843857378684,0.043136478973361904,0.043769612403466315,0.04320482449241278,0.043585204925166425,0.04314213264574991,0.04369496111695605,0.0433010636993614,0.04365025160324779,0.04336578598215707,0.043551281132127896,0.043473678370656,0.04359645371060775,0.043738681460572734,0.042859828695590886,0.04314876601083779,0.04388013737957447,0.04365123054633022,0.04366052921590121,0.0433392140902503,0.04383951465479284
26.6,0.043606611555125394,0.04358355741048528,0.043211407845378,0.04313767844615799,0.04377875730409689,0.04320427523309159,0.04360949013373528,0.04314402916584454,0.04368913371250753,0.04330083336403687,0.043653592026538984,0.043370534925906416,0.043531108274459586,0.04345202118492729,0.04358545763247142,0.043746602520470634,0.04285555757779348,0.043163109105401186,0.043880207907578864,0.04365807999440691,0.043656931148363026,0.04333906759919135,0.043841955932031565
26.62,0.0435967671475398,0.043581471076956244,0.04321454534240467,0.043149993037249854,0.04377341878790738,0.04319846135523539,0.04363177290091981,0.04314395357616205,0.04368886163531569,0.04330383148620781,0.04365870375086828,0.04336910660316264,0.04351288605352027,0.043435468553304914,0.043576548175602935,0.043757027261563296,0.04285645955297473,0.04317498772699811,0.04388026403029955,0.04366254133132157,0.043653189466552084,0.04333737550827493,0.04384236563965788
26.64,0.043594205688140125,0.04357278595602613,0.043213827341328774,0.04315625283491051,0.043762193743139666,0.04319729247527734,0.04364788970483655,0.04315076507569321,0.043692544536074726,0.04331479616399172,0.04366464699839789,0.043366334412872035,0.04349327911292292,0.0434248395564863,0.043562636724843194,0.043761318171014155,0.0428550804002699,0.043186751198063936,0.04388048763104166,0.043671336656740965,0.043652954292153795,0.0433320806638,0.04384570066197467
26.66,0.043589363098232525,0.043564117801870056,0.043209751628149794,0.04316271695193244,0.04375716147339958,0.043186807528321436,0.04366022061300127,0.04315979334061018,0.04369413383310183,0.043326816364861305,0.04367669824205151,0.04337062381210978,0.043478473293835085,0.04341781321515019,0.04354681805221976,0.0437652373898273,0.04285170932044806,0.043192019250655224,0.04388069530592512,0.04367383582879364,0.04365183128944125,0.043334598054130674,0.04384876431193209
26.68,0.043580377305035056,0.043558789495285306,0.043207453278028086,0.04317345132131955,0.04374951198976892,0.04317749949212914,0.04366905817110744,0.04317292072875493,0.04369651166259851,0.043335407005456385,0.04368238480210991,0.04337002248504701,0.04347119373226224,0.043412880796345164,0.043537581291561496,0.0437561716186294,0.04285132271054127,0.04319551246680696,0.0438807570965233,0.043676700464738996,0.04366014165258011,0.04333290274238677,0.04385144769098396
26.7,0.043560830391501444,0.04354726841536017,0.043199512250002285,0.04318092271199049,0.04374972837235593,0.043177489466400806,0.043673285555067255,0.04318915919299281,0.04369724706872601,0.043339113037265564,0.04368232271137368,0.043370731490585714,0.04346277532956226,0.04340847531286237,0.0435364095174544,0.043754993263252204,0.04284940999272511,0.0432046689549557,0.04387989557325336,0.04368499603681704,0.04366762505085792,0.04333014722233511,0.043852993082302415
26.72,0.04354557858272534,0.04353474118321124,0.04318971880207285,0.043192155097624946,0.04375070107377221,0.04318282619695665,0.0436712302211507,0.043209870696055856,0.043695791043940425,0.043344876741946335,0.04368355378981677,0.04336912827625852,0.043456462930756654,0.043400539609786994,0.043526031678563136,0.043746405838604764,0.04285393206757338,0.04321390961077087,0.043878249833604416,0.043694746343640324,0.04367598908052591,0.04333000422024083,0.043853557080400896
