lambda,k,defect_D,selection_probability,ensemble_mean_defect,selection_entropy
0.5,18,2.076350349110163,0.030192437532884364,1.3716171622235946,3.147797205334953
0.5,19,2.449427773023684,0.02505448286601413,1.3716171622235946,3.147797205334953
0.5,20,2.8280529934969065,0.020733280399822234,1.3716171622235946,3.147797205334953
0.5,21,3.2116844962570177,0.017114471747658462,1.3716171622235946,3.147797205334953
0.5,22,3.5998562877400007,0.014095259157603828,1.3716171622235946,3.147797205334953
0.5,23,3.992164588539069,0.011584689556339735,1.3716171622235946,3.147797205334953
0.5,24,4.388257184424518,0.009503290077016809,1.3716171622235946,3.147797205334953
0.5,25,4.787825020572167,0.007782317277911449,1.3716171622235946,3.147797205334953
0.5,26,5.190595419276104,0.006362802628338725,1.3716171622235946,3.147797205334953
0.5,27,5.596326588388768,0.005194515516182447,1.3716171622235946,3.147797205334953
0.5,28,6.004803125099459,0.004234922771689836,1.3716171622235946,3.147797205334953
0.5,29,6.415832310539258,0.003448193599214827,1.3716171622235946,3.147797205334953
0.5,30,6.829241032246454,0.002804278084963946,1.3716171622235946,3.147797205334953
0.5,31,7.244873211660474,0.0022780733161125457,1.3716171622235946,3.147797205334953
0.5,32,7.662587640090765,0.001848681781774902,1.3716171622235946,3.147797205334953
0.5,33,8.082256147816919,0.0014987607213328873,1.3716171622235946,3.147797205334953
0.5,34,8.503762046577139,0.0012139574364895584,1.3716171622235946,3.147797205334953
0.5,35,8.926998797890246,0.000982423555683224,1.3716171622235946,3.147797205334953
0.5,36,9.351868869016453,0.0007944003070371922,1.3716171622235946,3.147797205334953
1.0,2,1.3862943611198906,0.036607850034930674,0.881537210937977,2.802735429562135
1.0,3,1.5040773967762742,0.0325403111421606,0.881537210937977,2.802735429562135
1.0,4,1.6739764335716716,0.027455887526198007,0.881537210937977,2.802735429562135
1.0,5,1.6094379124341003,0.029286280027944544,0.881537210937977,2.802735429562135
1.0,6,1.5040773967762742,0.0325403111421606,0.881537210937977,2.802735429562135
1.0,7,1.3268709406490897,0.0388491469758448,0.881537210937977,2.802735429562135
1.0,8,1.114360645636249,0.04804780317084651,0.881537210937977,2.802735429562135
1.0,9,0.8680886300562775,0.061465032157414466,0.881537210937977,2.802735429562135
1.0,10,0.5978370007556204,0.0805372700768475,0.881537210937977,2.802735429562135
1.0,11,0.30715417586460125,0.10770574059863902,0.881537210937977,2.802735429562135
1.0,12,0.0,0.1464314001397227,0.881537210937977,2.802735429562135
1.0,13,0.32113973864262707,0.1062098996721594,0.881537210937977,2.802735429562135
1.0,14,0.6541305282174936,0.07612879158457732,0.881537210937977,2.802735429562135
1.0,15,0.9973585549629369,0.05401158201875018,0.881537210937977,2.802735429562135
1.0,16,1.3494925949539192,0.03798018078598683,0.881537210937977,2.802735429562135
1.0,17,1.7094554601025802,0.026498857007125776,0.881537210937977,2.802735429562135
1.0,18,2.076350349110163,0.018360593515971423,0.881537210937977,2.802735429562135
