model,beta,k,selection_count,selection_probability,mean_residence,mean_final_occupancy
null,4.0,12,89,0.089,2.727132344129699,0.09091329927307444
null,4.0,14,78,0.078,2.72765833818166,0.09083297737218064
null,4.0,16,93,0.093,2.7275668757545923,0.09086078587661423
null,4.0,18,91,0.091,2.7269240272538435,0.09091970109666449
null,4.0,20,96,0.096,2.726907539602468,0.09092714534951359
null,4.0,22,81,0.081,2.7263951078463706,0.09091870335651547
null,4.0,24,107,0.107,2.726919707050185,0.09096421734199786
candidate_pair_residual,4.0,4,0,0.0,0.9736103317584763,0.031118933887887435
candidate_pair_residual,4.0,6,0,0.0,1.1734742403010785,0.03767157741836967
candidate_pair_residual,4.0,8,0,0.0,1.953889549869229,0.06352233492700825
candidate_pair_residual,4.0,10,0,0.0,4.53897255277324,0.15016333092974418
candidate_pair_residual,4.0,12,1000,1.0,14.05227657175474,0.48036479706573426
candidate_pair_residual,4.0,14,0,0.0,4.107242189981915,0.13569050694260557
candidate_pair_residual,4.0,16,0,0.0,1.4167927309813722,0.045676421970129596
candidate_pair_residual,4.0,18,0,0.0,0.6779297150461956,0.021451832970975058
candidate_pair_residual,4.0,20,0,0.0,0.44031173523633166,0.013750137886997953
candidate_pair_residual,4.0,22,0,0.0,0.3511427143514258,0.010883401010469747
candidate_pair_residual,4.0,24,0,0.0,0.3143576679459927,0.009706724990078849
control_shift_minus_1,4.0,4,0,0.0,0.7976855423668963,0.02546092145756254
control_shift_minus_1,4.0,6,0,0.0,0.8681964671152588,0.027783404421516632
control_shift_minus_1,4.0,8,0,0.0,1.2518115076801943,0.04042400091638155
control_shift_minus_1,4.0,10,0,0.0,2.4319289493019354,0.07967688514480117
control_shift_minus_1,4.0,12,0,0.0,6.627699733656734,0.22232808106915822
control_shift_minus_1,4.0,14,1000,1.0,11.875741289304644,0.4044939381196008
control_shift_minus_1,4.0,16,0,0.0,3.3747566916577627,0.11146766366250146
control_shift_minus_1,4.0,18,0,0.0,1.2500697951871935,0.04036760368670565
control_shift_minus_1,4.0,20,0,0.0,0.6627756446847013,0.021057841399213732
control_shift_minus_1,4.0,22,0,0.0,0.4672476037334173,0.014684215480505986
control_shift_minus_1,4.0,24,0,0.0,0.3920867753112663,0.012255444642052138
control_shift_plus_1,4.0,4,0,0.0,1.8584852587480367,0.06062676170983165
control_shift_plus_1,4.0,6,0,0.0,2.2999238271032376,0.07534047178728784
control_shift_plus_1,4.0,8,0,0.0,4.355087892465323,0.14463665785737265
control_shift_plus_1,4.0,10,1000,1.0,11.444013184478864,0.38961312776371426
control_shift_plus_1,4.0,12,0,0.0,5.725577603307067,0.19159753289781137
control_shift_plus_1,4.0,14,0,0.0,1.9342827812541412,0.06309790411967832
control_shift_plus_1,4.0,16,0,0.0,0.851237193014123,0.027216879822611527
control_shift_plus_1,4.0,18,0,0.0,0.5084242371634248,0.0160325167385401
control_shift_plus_1,4.0,20,0,0.0,0.38264760484481614,0.011955544201148666
control_shift_plus_1,4.0,22,0,0.0,0.3312774544662368,0.010299182264200712
control_shift_plus_1,4.0,24,0,0.0,0.3090429631547202,0.009583420837802958
control_linear,4.0,4,484,0.484,11.033050710320245,0.37320727616455396
control_linear,4.0,6,516,0.516,11.035101826212584,0.3735125499050231
control_linear,4.0,8,0,0.0,3.3593180221003993,0.10996722841674886
control_linear,4.0,10,0,0.0,1.2954293601264395,0.041461552235837154
control_linear,4.0,12,0,0.0,0.7116512965140762,0.022392664756800056
control_linear,4.0,14,0,0.0,0.5172602009643249,0.01612807277554016
control_linear,4.0,16,0,0.0,0.44358691956892954,0.013755764762411474
control_linear,4.0,18,0,0.0,0.41374410556787866,0.012792698454903174
control_linear,4.0,20,0,0.0,0.4011804081641562,0.012395101603697002
control_linear,4.0,22,0,0.0,0.39593454305378195,0.012228190048259018
control_linear,4.0,24,0,0.0,0.39374260740719036,0.012158900876226985
control_cubic,4.0,4,0,0.0,0.4952012071775095,0.015535797454752752
control_cubic,4.0,6,0,0.0,0.4615523747040034,0.01444929411975167
control_cubic,4.0,8,0,0.0,0.4749648623895688,0.014884550610790638
control_cubic,4.0,10,0,0.0,0.5243804551681399,0.01648713307332663
control_cubic,4.0,12,0,0.0,0.6356955061191581,0.020097517119831904
control_cubic,4.0,14,0,0.0,0.8946198831433873,0.028538942222439693
control_cubic,4.0,16,0,0.0,1.5866905133792266,0.05128975284591577
control_cubic,4.0,18,0,0.0,3.83573848132765,0.1268024700622144
control_cubic,4.0,20,1000,1.0,12.451931192138753,0.42471561608340047
control_cubic,4.0,22,0,0.0,6.545369897705066,0.21906819924580173
control_cubic,4.0,24,0,0.0,2.0938556267475366,0.068130727161774
